VEHICLE
NUMBER,CAPACITY
20,10000

CUSTOMER
CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME

0,1915,6221,0,0,10000,0
1,4377,7853,250,0,1692,90
2,7799,2725,1250,0,7737,90
3,2764,8018,2000,0,6170,90
4,9581,8759,250,0,2937,90
5,3578,5009,250,0,9085,90
6,6834,7127,750,0,4764,90
7,3702,5611,1749,0,7024,90
8,5030,137,750,0,2291,90
9,7728,8826,1749,0,6295,90
10,3648,6153,1250,0,2018,90
11,753,3688,1250,0,9583,90
12,9331,6513,2000,0,8834,90
13,3972,7887,2249,0,8512,90
14,3168,5680,1749,0,5313,90
15,8691,4361,750,0,3208,90
16,8021,1437,250,0,2903,90
17,7042,7045,500,0,8752,90
18,2187,9248,2249,0,3576,90
19,4421,9093,1250,0,1269,90
20,598,1842,2249,0,2656,90
21,473,6748,1250,0,8554,90
22,5946,5333,2000,0,8634,90
23,433,5614,2000,0,3619,90
24,3296,5029,1250,0,2417,90
25,1118,6071,250,0,5144,90
26,5659,67,1000,0,4382,90
27,6174,9121,2249,0,2559,90
28,7905,9920,2000,0,4374,90
29,9588,7919,1749,0,820,90
30,2852,6249,1250,0,4908,90
31,4780,1956,1749,0,3894,90
32,3823,538,750,0,7557,90
33,4516,9820,2000,0,4807,90
34,1239,1193,1500,0,4690,90
35,7385,5873,1250,0,2791,90
36,4716,1071,1500,0,841,90
37,2292,8999,1000,0,6441,90
38,4167,5358,1500,0,3662,90
39,62,3006,1749,0,7839,90
40,4368,6121,2000,0,741,90
41,9181,6257,750,0,3193,90
42,7059,1498,500,0,979,90
43,7460,8310,1749,0,3636,90
44,6337,4383,1250,0,981,90
45,1525,5684,750,0,3981,90
46,5282,9514,1500,0,7293,90
47,4803,5025,2249,0,954,90
48,5368,8192,1500,0,5571,90
49,571,6694,500,0,5383,90
50,7671,7081,750,0,7042,90
51,7968,5577,750,0,7279,90
52,9658,1471,1749,0,2064,90
53,296,5938,2249,0,3327,90
54,1140,9508,500,0,6252,90
55,3257,1936,500,0,6616,90
56,4578,9204,2249,0,2945,90
57,8790,2526,500,0,5323,90
58,3480,1825,750,0,4900,90
59,9017,7065,500,0,2069,90
60,7266,9000,1749,0,1661,90
61,7791,5991,1000,0,8128,90
62,2911,1513,2000,0,4007,90
63,3351,6575,1250,0,8165,90
64,733,550,1250,0,3800,90
65,3231,5904,1250,0,4889,90
66,8538,2870,1250,0,8080,90
67,1730,1340,2000,0,2943,90
68,9946,1794,750,0,9823,90
69,3175,5682,1500,0,518,90
70,93,9006,1000,0,8995,90
71,9772,5568,2249,0,4958,90
72,847,3330,750,0,8265,90
73,7284,1424,250,0,7371,90
74,5524,2730,250,0,7336,90
75,9744,6677,2249,0,6379,90
76,2556,1083,2000,0,3695,90
77,7761,7824,750,0,8086,90
78,7616,9144,1500,0,4611,90
79,6586,5683,1749,0,1790,90
80,2017,6982,1749,0,259,90
81,9521,8899,500,0,3164,90
82,9935,8187,1250,0,8149,90
83,5451,4512,750,0,7595,90
84,8905,9732,1000,0,1757,90
85,5934,3660,500,0,1292,90
86,3230,8714,250,0,3734,90
87,2156,7349,2000,0,7130,90
88,3656,8016,1749,0,7226,90
89,7827,7013,1749,0,5653,90
90,6227,4936,250,0,6780,90
91,8405,7120,2000,0,1645,90
92,4439,310,250,0,8374,90
93,3632,7307,250,0,3990,90
94,4755,3444,250,0,7340,90
95,6408,1262,1000,0,6321,90
96,1714,7370,2249,0,9359,90
97,1270,3696,250,0,6995,90
98,6043,1031,750,0,5609,90
99,8023,9455,1250,0,7369,90
100,9790,8812,1250,0,8239,90
101,6276,9304,2249,0,2201,90
102,7247,7166,250,0,5834,90
103,410,4394,2000,0,3642,90
104,2820,3349,2000,0,5384,90
105,835,7608,1250,0,7752,90
106,5092,6610,2249,0,3591,90
107,6303,3709,1749,0,6769,90
108,4467,4151,2249,0,2462,90
109,4803,9833,1500,0,5641,90
110,3734,124,1250,0,4501,90
111,9219,8732,1749,0,944,90
112,3517,6301,2249,0,3579,90
113,3578,2128,1250,0,4282,90
114,2233,4195,500,0,6525,90
115,729,6508,500,0,5136,90
116,7556,9321,2000,0,3820,90
117,3764,2969,750,0,9902,90
118,3719,8276,2000,0,644,90
119,9011,4273,1250,0,4426,90
120,21,419,750,0,8473,90
121,1417,5982,2000,0,5403,90
122,1064,2971,250,0,8684,90
123,583,6213,250,0,7163,90
124,226,8550,500,0,3177,90
125,3063,7587,250,0,6012,90
126,5632,381,1500,0,2333,90
127,5655,6588,250,0,9102,90
128,1832,7974,2000,0,1913,90
129,6123,5556,500,0,4272,90
130,6294,6861,250,0,7466,90
131,2403,7879,2000,0,683,90
132,8564,7277,1749,0,4101,90
133,6923,4723,2000,0,147,90
134,8568,6647,250,0,2480,90
135,3333,5181,2000,0,6272,90
136,3946,310,1749,0,4602,90
137,5768,8502,750,0,2664,90
138,9514,6829,1749,0,6067,90
139,761,4100,1749,0,4129,90
140,419,1741,2000,0,7372,90
141,5654,1728,2249,0,4883,90
142,5666,5140,2000,0,1903,90
143,8688,7203,1500,0,2767,90
144,9035,2776,1749,0,1734,90
145,2566,6997,500,0,741,90
146,9015,9836,2249,0,3123,90
147,6409,3300,750,0,7064,90
148,6066,8221,500,0,1266,90
149,6279,1179,2000,0,7735,90
150,2858,9867,1000,0,8954,90
151,4318,5742,1749,0,7515,90
152,5272,1976,250,0,1829,90
153,1657,5009,2249,0,9929,90
154,9902,3939,1500,0,7409,90
155,7140,1759,250,0,6484,90
156,706,1576,1000,0,938,90
157,1615,2836,500,0,826,90
158,5367,7732,250,0,3417,90
159,8803,6373,2000,0,8420,90
160,8526,5979,2000,0,1584,90
161,6938,5371,1000,0,6969,90
162,8892,522,500,0,2364,90
163,7831,1451,1749,0,7507,90
164,586,589,1749,0,8664,90
165,519,5159,1250,0,2003,90
166,4049,9996,1749,0,797,90
167,1085,3273,2000,0,9640,90
168,9978,4011,2000,0,5930,90
169,8833,5691,1500,0,2968,90
170,9532,8853,2249,0,4963,90
171,7792,318,2249,0,5328,90
172,9626,5196,250,0,4054,90
173,2077,8750,1500,0,4117,90
174,2241,1386,2000,0,856,90
175,7252,9737,250,0,6477,90
176,5354,4447,1749,0,4416,90
177,221,6059,250,0,4091,90
